corner_place_id,name,neighborhood,website,instagram_handle,timestamp,google_id,description,hours,category,price,reviews,rating
516,L'Industrie Pizzeria,Brooklyn,http://www.lindustriebk.com/,lindustriebk,2025-02-22T14:12:43.809078,ChIJQ-hJIuBbwokRRUdquw_5w5U,"Celebrated locale with covered outdoor seating, turning out classic old-world pies and slices, plus inventive flavor combinations.","{'Saturday': '12 to 10 PM', 'Sunday': '12 to 10 PM', 'Monday': '12 to 10 PM', 'Tuesday': '12 to 10 PM', 'Wednesday': '12 to 10 PM', 'Thursday': '12 to 10 PM', 'Friday': '12 to 10 PM.'}",Pizza restaurant,$10–20,"['I recently tried Industry Pizza in Brooklyn, and unfortunately, I wasn’t too impressed. I had heard a lot of good things about the place, so maybe I just happened to catch them on a bad day. For starters, the bathrooms were out of order, …', 'I was really impressed by the large number of people at the location and the long line for ordering. The atmosphere both inside and outside the store was fantastic! The staff were exceptionally nice, which made for a pleasant experience. …', 'The best pizza I’ve tried in New York and Brooklyn! Be aware that there can be long lines at certain times of the day, especially during peak meal hours. It’s almost impossible to eat inside, but there’s a quirky bus outside where you can enjoy your slices. The pizza is incredibly delicious and flavorful—definitely worth it!', 'Best slice in NYC on a recent trip to the city. Crust and dough was fantastic, a nice mix of NY and Napolitan pizza. Toppings were fresh, cooked to perfection. Friendly staff cool environment in the shop. Standing room only for dine in.', 'Came here at 12pm when they opened and there’s already a line but it did move quickly. Honestly, it’s the best pizza I’ve had in NY, I’ve tried slices from all the popular places like Mama Too’s, Joe’s and Bleeker st and this is the best. Pizza is cooked perfectly and not burnt underneath. A little pricey but well worth it.']",
11582,Double Chicken Please,Lower East Side,http://www.doublechickenplease.com/,doublechickenpleasenyc,2025-02-22T14:12:53.498319,ChIJI25hF09ZwokRnmmiXXONRf4,"Trendy, snug cocktail bar serving finger foods, chicken sandwiches & creative drinks.",,Bar,$50–100,"['I highly recommend Double Chicken Please, a standout bar that offers a unique and flavorful experience. One of the highlights for me was the salty egg chicken sandwich—it’s simply amazing! The flavors are rich and well-balanced, making it a …', 'Double Chicken Please NYC absolutely blew me away in the best possible way. I initially checked out the menu for their creative—and honestly, slightly bizarre-sounding—cocktails, and ended up going straight to “The Coop.” The entire …', 'Overall the food, ambiance, and service was really great! My friend and I did not do any research before coming here though and it was a confusing experience. We came on a weekday evening. When we got there we just put our name down and it …', 'Added my party of 2 to the waitlist at The Coop, when we went on the Valentine’s Day evening. Our table was ready 2 hours later. We really enjoyed the food, the mochi donut sandwich was incredible! I really enjoyed the salted egg yolk …', 'We loved it!\n\nDrinks were very delicious and extra innovative! We tried Japanese Cold Noodles, …']",
699,Thai Diner,Little Italy,http://www.thaidiner.com/,thaidiner,2025-02-22T14:13:18.801327,ChIJQyFr6-FZwokRr23JK7BC7_g,"Classic Thai dishes and drinks by a lauded restaurant group in a kitschy-cool, diner-style setting.",,Thai restaurant,$30–50,"['We visited Thai Diner on Mott Street and had to wait about an hour for a table, which was a bit disappointing. The Thai iced tea was refreshing and tasty, but the Tom Yum soup was far too sour and didn’t have the right balance of flavors. …', 'I recently made my second visit to Thai Diner, a restaurant situated on the edge of Little Italy, a somewhat unexpected location for a Thai establishment. Despite its location, the diner was busy with both patrons and staff. …', 'Man oh man where do I even start.. First of all if you plan to eat here on a weekend or even during business hours be prepared to wait! We didn’t have any reservations so we ended up having to wait around 1-1.5 hours for a table …', 'After hearing great things upon our arrival to NYC, we arrived right at opening on a Friday to guarantee ourselves a seat. The coolest interior, friendly staff and fantastic food. We shared the crispy rice eggs and French toast. I think next time I would try the pancakes instead, but still delicious.', 'Tried brunch with my girls here today and it was incredible. We shared the egg sandwich, fried eggs, and coconut pancakes. They were each unique and delicious, new take on brunch food I’ve never had before with thai basil and spices. Will definitely be back! Recommend going on a weekday to avoid the line']",
8772,Soothr,East Village,http://soothrnyc.com/,soothr_nyc,2025-02-22T14:13:44.369392,ChIJ0aS81yNZwokRIk-S2YSuvls,"Intimate space with al fresco dining, offering Thai noodles and soups, plus cocktails.","{'Saturday': '12 to 3:30 PM, 5 to 11 PM', 'Sunday': '12 to 3:30 PM, 5 to 10 PM', 'Monday': '12 to 3:30 PM, 5 to 10 PM', 'Tuesday': '12 to 3:30 PM, 5 to 10 PM', 'Wednesday': '12 to 3:30 PM, 5 to 10 PM', 'Thursday': '12 to 3:30 PM, 5 to 10 PM', 'Friday': '12 to 3:30 PM, 5 to 11 PM.'}",Thai restaurant,$30–50,"['The hype is real. This intimate place reminds me of my first time in Thailand. Yes because the food is delicious and flavorful, but mostly because of the friendliness and attentiveness of the staff. My waitress was amazing but it was my …', 'Our server was Nina and she was so friendly! She did a great job checking in on us and giving us recommendations. …', 'Firstly, the atmosphere was authentic and really brings the Thai culture. The food was nicely done but there was nothing WOW. I do love how they place lychee in the duck curry it really balances the flavour of sweet and savoury. The …', 'Easy to make reservations, friendly staffs. I highly recommend to ask for paper menu instead of QR code menu (so confusing). We were 5 people, order 2 appetizers and 5 entrees with 1 side dish. Everything was so good. I highly recommend the Tom Yum hot pot (decent size for sharing), and Chicken with Crispy noodles, also the Koong Curry!!', 'We had a wonderful dining experience! The food was delicious with generous portions, and our server, Nina, was outstanding. …']",
21236,Public Records,Brooklyn,http://publicrecords.nyc/,publicrecordsnyc,2025-02-22T14:13:53.692104,ChIJKb2SuKFbwokRyORCT_Xtf_s,Hi-fi record bar with food & drink offerings plus an intimate performance space & vegan cafe.,"{'Saturday': '10 AM to 5 PM, 6 PM to 4 AM', 'Sunday': '10 AM to 9 PM', 'Monday': 'Closed', 'Tuesday': '10 AM to 5 PM', 'Wednesday': '10 AM to 10 PM', 'Thursday': '10 AM to 10 PM', 'Friday': '10 AM to 5 PM, 6 PM to 4 AM.'}",Arts organization,,"['I rarely say this, especially while I’m still at the restaurant, but I will definitely be coming back — and I want to show this place to all my friends. It’s truly a fantastic spot! I loved every dish we tried. The staff was incredibly …', 'Public Records has a quirky layout that can be a bit confusing at first. For a recent music event, guests had to enter from a different entrance, check in at the back, and then head to the main venue at the front, with a small lounge …', 'Low key spot to NETWORK & VIBE.\n🙌🏼Great events almost every Wednesday🙌🏼And tickets could be purchased same day w/ coat check service available. …', 'enjoyed their cocktails and the dessert a lot for my birthday. the hostess was very sweet and the atmosphere was adorb - both in the dining room and in the garden with string lights on. can recommend tom in the afternoon (a light and smooth …', 'This place is undeniably charming, with a cozy and stylish atmosphere that immediately catches your eye. However, it’s quite small, and with the large number of people, it can feel a bit cramped at times. …']",
2698,Book Club Bar,Alphabet City,http://www.bookclubbar.com/,bookclubbar,2025-02-22T14:14:04.094057,ChIJwxHj5iBZwokR_pY9e5OhHNs,Cozy bookstore with comfy chairs for reading plus a bar serving handcrafted drinks.,"{'Saturday': '9 AM to 1 AM', 'Sunday': '9 AM to 12 AM', 'Monday': '9 AM to 12 AM', 'Tuesday': '9 AM to 12 AM', 'Wednesday': '9 AM to 12 AM', 'Thursday': '9 AM to 1 AM', 'Friday': '9 AM to 1 AM.'}",Book store,,"['Such a lovely place, there is even a garden. Amazing books, high quality in choice, I was really surprised. When I went to the restroom and I found out that they have put the Satrapi’s graphic novel on the walls I have said to myself I have …', 'So much love for this space. It is so cute and what a great concept!! I was drawn here because this is where SMJ did her Crescent City 3 release. So cool!!', 'Wonderful place. Reasonably priced drinks and great coffee (for Manhattan). I sat there for three hours or so reading comic books. I prefer it over a regular bookstore but they typically don’t have the same selection. …', 'Such a charming little place! I love that you can purchase a book and sit down and read it while you enjoy a cocktail, glass of wine, or cup of coffee. It was a very calming environment. I especially loved the bathrooms and the staircase leading back up to the bookstore.', 'This was such an incredible experience. Very well thought out idea. We perused through some books, grabbed some drinks, and played chess. Their expresso martini is incredible! The ambiance was like a mini getaway from the chaos of the city. …']",
505,Win Son Bakery,Brooklyn,http://winsonbrooklyn.com/,,2025-02-22T14:14:14.716611,ChIJWUWEmp9bwokRD6Q20axkQoc,Laid-back neighborhood spot serving inventive twists on Taiwanese classics for brunch & dinner.,"{'Saturday': '9 AM to 10 PM', 'Sunday': '9 AM to 9 PM', 'Monday': '9 AM to 3 PM', 'Tuesday': '9 AM to 9 PM', 'Wednesday': '9 AM to 9 PM', 'Thursday': '9 AM to 10 PM', 'Friday': '9 AM to 10 PM.'}",Bakery,$10–20,"[""You need to get here ASAP! This place is on the top of my list for places you need to try in the city.  Scallion pancake BEC is UNREAL. My only complaint is they don't give you enough sauce to use it for every bite.  Mochi donut is perfect. …"", 'Enjoyed the Taiwanese inspired dishes! Jiucai Scallion Pancake tasted great and portion size was generous (could definitely be shared between 2 people) was very busy during lunch hours on a Saturday so prepared to dine at one of their standing tables.', 'SO GOOD OMG fusion Taiwanese gentrified breakfast but done rly well!! got the scallion bec, pork fan tuan, mochi donut and hot soy milk which came w some you tiao. Everything  was actually amazing, personal fav was the scallion bec and the …', 'Win Son Bakery totally lives up to its hype! They have an extensive menu with so many delicious options - from sweet to savory, you can’t go wrong ordering anything here. I went for a date caramel latte and egg and cheese on a scallion …', 'We had a bacon, egg, and cheese on a scallion pancake, a red rice donut, and a chocolate bolo bao. All the food was delicious, especially the egg sandwich with the tasty ginger deluxe sauce. It’s a bit hectic in there on a weekend morning …']",
503,La Cabra Bakery,East Village,https://us.lacabra.com/pages/east-village,lacabracoffee,2025-02-22T14:14:24.046410,ChIJT994RulZwokRdgqQX0zc3QY,"4.7
(1,142)
·$10–20","{'Saturday': '8 AM to 6 PM', 'Sunday': '8 AM to 6 PM', 'Monday': '7 AM to 6 PM', 'Tuesday': '7 AM to 6 PM', 'Wednesday': '7 AM to 6 PM', 'Thursday': '7 AM to 6 PM', 'Friday': '7 AM to 6 PM.'}",Coffee shop,$10–20,"['The croissant was perfection! Baked to the perfect point and the inside was perfectly spread.\nThe matcha was also pretty good. But the rest of the breads were a bit of …', 'A huge hit. Reminds me of Denmark SO much. Cardamom bun was perfect. Not too sweet, delicious pairing with coffee. …', 'Not that this spot needed another great review, but I just HAD to leave one because it’s truly that good! From start to finish, the service was exceptional—the staff was incredibly kind and welcoming, checking in on us and asking about our …', 'Absolutely loved my experience here! Great selection of freshly baked goods. Cardamom bun was so soft and delicious, as well as a perfect cup of cortado. Extremely friendly staff. Limited space, but i did not mind standing by their coffee bar. Will definitely come back.', 'A lovely selection of pour over, coffee beans, and pastries. The cardamom bun is always a standout; this time we tried the saffron bun, which had a subtler flavor while maintaining the beautiful twist and soft texture, an equally delightful treat!']",
1144,Misi,Brooklyn,http://www.misinewyork.com/,misinewyork,2025-02-22T14:14:33.553424,ChIJw7SsU_pZwokREyGSSulF53U,Contemporary-chic Italian dining space serving elevated antipasti and handmade pasta dishes.,"{'Saturday': '11:30 AM to 2:30 PM, 4:30 to 9:30 PM', 'Sunday': '11:30 AM to 2:30 PM, 4:30 to 9:30 PM', 'Monday': '5 to 9:30 PM', 'Tuesday': '5 to 9:30 PM', 'Wednesday': '5 to 10:30 PM', 'Thursday': '5 to 9:30 PM', 'Friday': '11:30 AM to 2:30 PM, 4:30 to 9:30 PM.'}",Italian restaurant,$50–100,"['The best pasta in New York! I often went there to go location near by to buy freshly made pasta and sauce, to cook at home. Cause this restaurant so hard to get the reservation, and luckily I finally got one. …', 'Misi - didn’t grab a reservation on a Sunday afternoon but we managed to squeeze in at the counter. For starters we had the trumpet mushroom and squash. Mushroom was really good. For pasta we had the tortellini and the nduja pasta. Pastas …', 'Definitely in my top 5 restaurants of Williamsburg, exceptional pastas, starters, ice cream\nVery good service! …', 'So glad I was finally able to try this place out. Firstly, the ambience and design of the restaurant is great. I love that you’re able to sit behind the counter (close to the kitchen). …', 'Very good pasta and good service. The shared high table was comfortable. I really enjoyed the pork sagu, it was more complex and flavorful than other dishes. Many of the dishes were simple, but very well made. However, the fennel salad was …']",
314,Raku,SoHo,http://rakunyc.com/,rakunyc,2025-02-22T14:14:43.584945,ChIJo3cQ0GxZwokRUukfD7IRfKk,"Busy, minimal-chic room offering house udon specialties and Japanese small plates.","{'Saturday': '12-11 PM', 'Sunday': '12-10 PM', 'Monday': '5-10 PM', 'Tuesday': '12-10 PM', 'Wednesday': '12-10 PM', 'Thursday': '12-10 PM', 'Friday': '12-11 PM'}",,,,
